Player,Matches,BattingInnings,TotalBallFaced,TotalRuns,NotOuts,BattingAvg,Bestscore,StrikeRate,BowlingInnings,TotalBallBowled,TotalWickets,BestWickets,TotalRunsConceded,BowlingAvg,TotalOverBowled,EconomyRate
A Ashish Reddy,28,23,196,280,8,18.666666666666668,36,142.85714285714286,20,196,19,3,400,21.05263157894737,45.0,8.88888888888889
A Badoni,11,11,139,161,2,17.88888888888889,54,115.8273381294964,2,139,2,1,12,6.0,2.0,6.0
A Chandila,12,2,7,4,1,4.0,4,57.14285714285714,12,7,11,4,245,22.272727272727277,39.0,6.282051282051282
A Chopra,6,6,75,53,1,10.6,24,70.66666666666667,0,75,0,0,0,0.0,0.0,0.0
A Choudhary,5,3,20,25,1,12.5,15,125.0,5,20,5,2,144,28.8,18.0,8.0
A Dananjaya,1,1,5,4,1,inf,4,80.0,1,5,0,0,47,inf,4.166666666666667,11.28
A Flintoff,3,3,57,62,1,31.0,24,108.7719298245614,3,57,2,1,106,53.0,11.0,9.636363636363637
A Kumble,42,15,49,35,13,17.5,8,71.42857142857143,42,49,49,5,1089,22.22448979591837,163.83333333333334,6.646998982706002
A Manohar,7,7,79,108,1,18.0,43,136.70886075949366,0,79,0,0,0,0.0,0.0,0.0
A Mishra,154,54,410,362,24,12.066666666666666,31,88.29268292682927,154,410,175,5,4022,22.982857142857146,552.8333333333334,7.275248718721736
A Mithun,16,6,26,34,1,6.8,11,130.76923076923077,16,26,8,2,477,59.625,52.0,9.173076923076923
A Mukund,2,2,23,19,0,9.5,19,82.6086956521739,0,23,0,0,0,0.0,0.0,0.0
A Nehra,88,17,63,41,9,5.125,22,65.07936507936508,88,63,121,5,2537,20.96694214876033,329.0,7.711246200607903
A Nel,1,0,0,0,0,0.0,0,0.0,1,0,1,1,31,31.0,3.0,10.333333333333334
A Nortje,30,4,13,8,3,8.0,3,61.53846153846154,30,13,44,4,946,21.5,117.66666666666669,8.039660056657224
A Singh,23,5,10,2,1,0.5,1,20.0,23,10,31,4,639,20.61290322580645,81.0,7.888888888888889
A Symonds,36,36,781,974,10,37.46153846153846,117,124.71190781049935,30,781,23,3,694,30.17391304347826,90.0,7.711111111111111
A Tomar,1,1,8,4,0,4.0,4,50.0,0,8,0,0,0,0.0,0.0,0.0
A Uniyal,2,2,7,4,1,4.0,4,57.14285714285714,2,7,3,3,67,22.33333333333333,6.333333333333333,10.578947368421051
A Zampa,14,2,8,5,0,2.5,5,62.5,14,8,21,6,373,17.761904761904763,48.66666666666666,7.664383561643836
AA Bilakhia,7,7,88,69,2,13.8,22,78.4090909090909,0,88,0,0,0,0.0,0.0,0.0
AA Chavan,13,3,11,12,2,12.0,7,109.09090909090908,13,11,8,2,339,42.375,42.5,7.976470588235294
AA Jhunjhunwala,18,15,218,217,1,15.5,53,99.54128440366972,10,218,1,1,130,130.0,14.666666666666666,8.863636363636363
AA Kazi,1,0,0,0,0,0.0,0,0.0,1,0,1,1,21,21.0,2.1666666666666665,9.692307692307692
AA Noffke,1,1,12,9,0,9.0,9,75.0,1,12,1,1,41,41.0,4.166666666666667,9.84
AB Agarkar,42,18,160,179,10,22.375,39,111.875,42,160,33,3,1174,35.57575757575758,136.66666666666666,8.590243902439026
AB Barath,3,3,43,42,1,21.0,33,97.67441860465117,0,43,0,0,0,0.0,0.0,0.0
AB Dinda,76,16,50,26,7,2.888888888888889,7,52.0,75,50,82,4,2103,25.646341463414632,264.8333333333333,7.940843297671492
AB McDonald,10,9,103,123,4,24.6,33,119.41747572815532,10,103,14,4,263,18.785714285714285,31.33333333333333,8.393617021276595
AB de Villiers,170,170,3487,5181,45,41.448,133,148.58044164037855,0,3487,0,0,0,0.0,0.0,0.0
AC Blizzard,7,7,91,120,0,17.142857142857142,51,131.86813186813183,0,91,0,0,0,0.0,0.0,0.0
AC Gilchrist,80,80,1555,2069,4,27.223684210526315,109,133.05466237942122,1,1555,1,1,0,0.0,0.1666666666666666,0.0
AC Thomas,15,4,19,20,2,10.0,12,105.26315789473684,15,19,16,3,416,26.0,54.5,7.63302752293578
AC Voges,8,7,143,181,1,30.166666666666668,45,126.5734265734266,7,143,1,1,76,76.0,9.333333333333334,8.142857142857142
AD Hales,6,6,119,148,0,24.666666666666668,45,124.36974789915966,0,119,0,0,0,0.0,0.0,0.0
AD Mascarenhas,13,11,79,79,1,7.9,27,100.0,13,79,19,5,365,19.210526315789476,51.66666666666666,7.064516129032258
AD Mathews,46,41,599,724,10,23.35483870967742,65,120.86811352253756,44,599,28,4,1095,39.10714285714285,134.5,8.141263940520446
AD Nath,10,10,99,90,0,9.0,24,90.9090909090909,0,99,0,0,0,0.0,0.0,0.0
AD Russell,95,81,1212,2039,15,30.893939393939394,88,168.23432343234325,89,1212,99,6,2214,22.363636363636363,247.33333333333331,8.951482479784366
AF Milne,10,6,31,23,1,4.6,15,74.19354838709677,10,31,9,3,339,37.66666666666666,36.16666666666666,9.373271889400922
AG Murtaza,12,3,14,10,2,10.0,5,71.42857142857143,12,14,12,3,322,26.83333333333333,44.833333333333336,7.182156133828996
AG Paunikar,5,5,61,49,0,9.8,20,80.32786885245902,0,61,0,0,0,0.0,0.0,0.0
AJ Finch,90,90,1696,2092,6,24.904761904761905,88,123.34905660377358,5,1696,1,1,67,67.0,7.333333333333333,9.136363636363637
AJ Turner,4,4,11,3,1,1.0,3,27.27272727272727,0,11,0,0,0,0.0,0.0,0.0
AJ Tye,30,13,79,91,5,11.375,25,115.18987341772151,30,79,48,5,1005,20.9375,119.0,8.445378151260504
AK Markram,19,18,400,527,5,40.53846153846154,68,131.75,6,400,1,1,87,87.0,10.166666666666666,8.557377049180328
AL Menaria,25,23,367,401,1,18.227272727272727,40,109.26430517711172,12,367,3,2,144,48.0,18.83333333333333,7.646017699115045
AM Nayar,51,50,588,672,11,17.23076923076923,45,114.28571428571428,19,588,9,3,323,35.888888888888886,39.833333333333336,8.10878661087866
AM Rahane,148,148,3465,4074,15,30.63157894736842,105,117.57575757575758,1,3465,1,1,5,5.0,1.0,5.0
AM Salvi,7,0,0,0,0,0.0,0,0.0,7,0,7,2,205,29.285714285714285,26.0,7.884615384615385
AN Ahmed,17,6,27,36,5,36.0,18,133.33333333333331,17,27,15,3,515,34.333333333333336,60.333333333333336,8.535911602209945
AN Ghosh,2,2,8,7,0,3.5,7,87.5,0,8,0,0,0,0.0,0.0,0.0
AP Dole,3,2,23,34,0,17.0,30,147.82608695652172,3,23,5,2,114,22.8,12.166666666666666,9.36986301369863
AP Majumdar,4,4,77,87,0,21.75,31,112.987012987013,0,77,0,0,0,0.0,0.0,0.0
AP Tare,27,27,285,339,3,14.125,59,118.94736842105264,0,285,0,0,0,0.0,0.0,0.0
AR Bawne,1,1,12,12,1,inf,12,100.0,0,12,0,0,0,0.0,0.0,0.0
AR Patel,122,87,919,1135,28,19.23728813559322,44,123.5038084874864,121,919,109,4,3140,28.807339449541285,433.1666666666667,7.24894190073105
AS Joseph,12,4,20,20,3,20.0,15,100.0,12,20,14,6,358,25.571428571428573,40.0,8.95
AS Rajpoot,29,7,41,26,3,6.5,8,63.41463414634146,29,41,24,5,844,35.166666666666664,94.5,8.931216931216932
AS Raut,17,16,172,194,5,17.636363636363637,36,112.7906976744186,5,172,0,0,45,inf,5.0,9.0
AS Roy,3,1,2,0,0,0.0,0,0.0,3,2,2,1,66,33.0,9.5,6.947368421052632
AS Yadav,6,6,40,49,-1,7.0,16,122.5,0,40,0,0,0,0.0,0.0,0.0
